wavelength zos_01_11.21_UT_0.02% zos_02_11.34_UT_0% zos_03_11.45_UT_0% zos_07_11.57_UT_18.11% zos_08_12.05_UT_11.63% zos_09_12.16_UT_20.47% zos_13_12.25_UT_32.57% zos_15_12.32_UT_36.21% zos_14_12.39_UT_21.86% zos_21_12.47_UT_57.94% zos_20_12.55_UT_46.91% zos_19_13.01_UT_62.74% zos_27_13.09_UT_79.44% zos_26_13.16_UT_88.42% zos_25_13.29_UT_73.85% zos_a_61_9.45_UT_100% zos_b_61_9.52_UT_100% zos_c_61_9.57_UT_100% zos_d_61_10.04_UT_100% zos_e_61_10.10_UT_100%
497 0.085959 0.054958 0.058163 0.059931 0.059677 0.064149 0.071718 0.046665 0.08371 0.043001 0.032417 0.014921 0.015711 0.011729 0.016551 0.014683 0.015138 0.016515 0.014196 0.016601
498 0.08631 0.055194 0.058444 0.060163 0.059902 0.064393 0.07198 0.046868 0.084004 0.043148 0.032583 0.014955 0.015732 0.011783 0.016604 0.014769 0.015208 0.016577 0.01426 0.016711
499 0.086676 0.055506 0.058736 0.06042 0.060169 0.064708 0.072301 0.047073 0.084364 0.043356 0.032744 0.015036 0.015829 0.011875 0.016717 0.014845 0.015321 0.016652 0.014358 0.016807
500 0.087035 0.055794 0.059044 0.060662 0.060437 0.065 0.072611 0.047311 0.084728 0.043575 0.032944 0.015098 0.015913 0.011959 0.016803 0.014898 0.015412 0.01672 0.014413 0.016892
501 0.087395 0.05607 0.059359 0.060924 0.060712 0.065293 0.072918 0.04757 0.085096 0.043807 0.033172 0.015152 0.015987 0.012042 0.016896 0.014969 0.015507 0.016803 0.014457 0.016993
502 0.087772 0.056375 0.059677 0.061221 0.061014 0.065654 0.073251 0.047842 0.085491 0.04406 0.033389 0.015243 0.016087 0.012184 0.017035 0.015064 0.015636 0.016925 0.014555 0.017138
503 0.088146 0.056688 0.060018 0.06154 0.061322 0.066023 0.073564 0.048102 0.085908 0.044309 0.033621 0.015373 0.016193 0.012303 0.017186 0.015159 0.015784 0.017048 0.014644 0.01724
504 0.088505 0.057001 0.060367 0.061867 0.061641 0.066394 0.073895 0.048375 0.086338 0.044571 0.033861 0.01549 0.016317 0.012422 0.017349 0.015269 0.015968 0.017191 0.014758 0.017379
505 0.088849 0.057296 0.060712 0.06218 0.06197 0.066754 0.074253 0.048678 0.086755 0.044848 0.034116 0.015568 0.016453 0.012579 0.017481 0.015399 0.016189 0.017388 0.014916 0.017609
506 0.089217 0.057583 0.061039 0.062507 0.062262 0.067102 0.074558 0.048991 0.08714 0.045148 0.034445 0.015665 0.016559 0.012728 0.017607 0.015549 0.016359 0.01758 0.015055 0.017816
507 0.089596 0.057889 0.061367 0.062849 0.06258 0.067482 0.074888 0.049296 0.087562 0.04543 0.034782 0.015781 0.016708 0.012892 0.017797 0.015697 0.016561 0.017773 0.015195 0.018039
508 0.089986 0.058209 0.061708 0.063203 0.062933 0.067906 0.075271 0.049616 0.088051 0.045694 0.035112 0.015913 0.016905 0.013093 0.018041 0.015849 0.01682 0.017969 0.015358 0.018277
509 0.090393 0.058489 0.062056 0.063532 0.06329 0.06837 0.075639 0.049967 0.088498 0.046038 0.035477 0.016046 0.017074 0.013296 0.018273 0.016041 0.017093 0.018225 0.015571 0.018523
510 0.090761 0.058767 0.062405 0.06389 0.06364 0.068831 0.076 0.05031 0.088974 0.046412 0.035889 0.016215 0.017242 0.01351 0.018518 0.016243 0.017368 0.018518 0.015796 0.018819
511 0.091136 0.059071 0.062765 0.064257 0.063995 0.06931 0.076372 0.050728 0.089473 0.046823 0.036321 0.01642 0.017437 0.013745 0.018806 0.016483 0.01766 0.018817 0.016043 0.01914
512 0.091576 0.059411 0.063154 0.064653 0.06437 0.069837 0.076762 0.051176 0.089976 0.047243 0.036738 0.016614 0.017692 0.014025 0.019093 0.016714 0.017993 0.019136 0.016327 0.019469
513 0.092011 0.05974 0.063511 0.065074 0.064763 0.070363 0.077178 0.051586 0.090501 0.047679 0.037171 0.016835 0.017973 0.014321 0.019416 0.016948 0.018341 0.019451 0.016596 0.019806
514 0.092429 0.060047 0.063866 0.06549 0.065155 0.070893 0.0776 0.051989 0.091053 0.04815 0.037636 0.017069 0.018244 0.014602 0.01973 0.017208 0.018692 0.019791 0.016872 0.020139
515 0.092846 0.060338 0.064234 0.065886 0.065545 0.071421 0.078016 0.052448 0.091634 0.048654 0.038128 0.017303 0.018488 0.014917 0.020046 0.017498 0.019047 0.020139 0.017176 0.020553
516 0.093286 0.060662 0.06461 0.066292 0.065985 0.072036 0.078464 0.052882 0.092228 0.049168 0.03864 0.017547 0.018777 0.015226 0.020398 0.017783 0.019428 0.020535 0.017463 0.020952
517 0.093746 0.061027 0.064983 0.066707 0.066454 0.072657 0.078907 0.053348 0.09284 0.049699 0.039176 0.017803 0.019089 0.015578 0.020795 0.018108 0.019843 0.020969 0.017788 0.021373
518 0.094203 0.061402 0.065349 0.067147 0.066928 0.07326 0.07935 0.053873 0.093471 0.050224 0.039731 0.018071 0.019402 0.015959 0.021193 0.018447 0.020281 0.021441 0.018162 0.021843
519 0.094626 0.061709 0.065719 0.067544 0.067381 0.073899 0.079815 0.054378 0.094072 0.050732 0.040335 0.018361 0.019696 0.01632 0.021593 0.01879 0.020741 0.021935 0.018534 0.022325
520 0.095021 0.062015 0.066064 0.067933 0.067817 0.074526 0.080309 0.054872 0.094676 0.05125 0.040903 0.018624 0.020011 0.016654 0.021997 0.019138 0.021178 0.022401 0.018893 0.0228
521 0.095394 0.062332 0.066378 0.068312 0.068259 0.075136 0.080793 0.055357 0.095293 0.051759 0.041448 0.018869 0.020333 0.016975 0.022395 0.019487 0.021581 0.022866 0.019252 0.023242
522 0.095753 0.062639 0.06669 0.068677 0.068685 0.075758 0.081187 0.055817 0.09594 0.052234 0.042022 0.019133 0.020633 0.017292 0.022785 0.019846 0.021993 0.023328 0.01957 0.023694
523 0.096162 0.062965 0.067034 0.069066 0.069134 0.076379 0.08162 0.056311 0.096561 0.052742 0.042591 0.019407 0.020944 0.017633 0.02316 0.020165 0.022395 0.02379 0.019909 0.024135
