Wavelength	AVE00021.asd
653	 7.28731476152838E-02 
654	 7.24752544359435E-02 
655	 7.22030032787264E-02 
656	 7.16552602268308E-02 
657	 7.12523585843917E-02 
658	 7.11992087716907E-02 
659	 0.071058174645889 
660	 7.07206368349211E-02 
661	 0.070076907036261 
662	 6.98169530640709E-02 
663	 6.99405895129415E-02 
664	 0.069532373613002 
665	 0.06896202865488 
666	 6.85475069074073E-02 
667	 6.79320545634693E-02 
668	 0.067390186495656 
669	 0.067743069222321 
670	 6.80264641973585E-02 
671	 6.78509383712042E-02 
672	 6.72520756477368E-02 
673	 6.68652928269561E-02 
674	 6.73818167818886E-02 
675	 6.77989469844069E-02 
676	 6.79048603868018E-02 
677	 6.77922544584369E-02 
678	 6.78986323419782E-02 
679	 6.84141736421363E-02 
680	 6.87458408134283E-02 
681	 6.90221507819695E-02 
682	 6.95661848988692E-02 
683	 7.00496829146653E-02 
684	 7.05408451043491E-02 
685	 7.16943815632688E-02 
686	 7.30673406156072E-02 
687	 7.42356455841181E-02 
688	 7.54310055246008E-02 
689	 7.65647967198636E-02 
690	 7.74901756944208E-02 
691	 7.92303332931834E-02 
692	 8.18652312028845E-02 
693	 8.37458958703746E-02 
694	 8.57140246690257E-02 
695	 8.86235042201994E-02 
696	 9.17553992048361E-02 
697	 9.46895995540718E-02 
698	 9.67751983088732E-02 
699	 9.91543707710523E-02 
700	 0.10218246367024 
701	 0.104307850604401 
702	 0.10643310649158 
703	 0.110016159225664 
704	 0.113166114266341 
705	 0.115653970432879 
706	 0.118341619655413 
707	 0.121073384126331 
708	 0.123686256767026 
709	 0.125692079765784 
710	 0.127368930864593 
711	 0.129348967487003 
712	 0.131323087414394 
713	 0.13324798985971 
714	 0.135379707875047 
715	 0.137363829331972 
716	 0.138961495996108 
717	 0.140433490487597 
718	 0.142135243388605 
719	 0.144773490013123 
720	 0.14654989747095 
721	 0.147012278701243 
722	 0.147598000252778 
723	 0.14842422075743 
724	 0.149486489643659 
725	 0.151015633451844 
726	 0.152624845003499 
727	 0.153394327179087 
728	 0.154008475690383 
729	 0.15478993781632 
730	 0.155349156421906 
731	 0.155935170746269 
732	 0.156929649848616 
733	 0.157585033025899 
734	 0.157906653236445 
